Size,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m
55x60x4,3.19,2.22,-,-,-,-,-,-
55x60x5,3.93,2.73,-,-,-,-,-,-
65x60x4,4.68,3.26,2.39,1.83,-,-,-,-
65x60x5,5.8,4.03,2.96,2.27,-,-,-,-
75x60x4,6.49,4.53,3.33,2.55,-,-,-,-
75x60x5,8.07,5.63,4.14,3.17,2.5,-,-,-
85x60x4,8.63,6.03,4.44,3.4,2.69,2.18,-,-
85x60x5,10.75,7.51,5.54,4.24,3.35,2.72,2.24,-
95x60x5,13.83,9.72,7.17,5.5,4.35,3.52,2.91,2.45
105x60x5,16.24,12.22,9.04,6.94,5.49,4.45,3.68,3.09
115x60x5,16.24,15.03,11.16,8.59,6.8,5.51,4.56,3.83
115x60x6,16.24,17.2,12.77,9.82,7.78,6.31,5.22,4.38
115x65x8,16.24,19.2,16.97,13.06,10.34,8.39,6.93,5.83
